Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner,Reviewed
2024-08-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2024-08-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2024-08-05,Coast Mutual,Harbor Insurance,Chequing (...1001),COAST MUTUAL,,-600.00,,Sam,
2024-08-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2024-08-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2024-09-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2024-09-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2024-09-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2024-09-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2024-10-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2024-10-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2024-10-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2024-10-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2024-11-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2024-11-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2024-11-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2024-11-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2024-12-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2024-12-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2024-12-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2024-12-15,Pebble Gifts,Shore Gifts,Chequing (...1001),PEBBLE GIFTS,,-50.00,,Sam,
2024-12-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-01-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-01-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-01-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2025-01-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-02-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-02-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-02-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2025-02-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-03-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-03-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-03-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2025-03-10,Dock Club,Dock Club,Chequing (...1001),DOCK CLUB,,-180.00,,Sam,
2025-03-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-04-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-04-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-04-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2025-04-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-05-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-05-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-05-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2025-05-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-06-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-06-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-06-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2025-06-15,Pebble Gifts,Shore Gifts,Chequing (...1001),PEBBLE GIFTS,,-50.00,,Sam,
2025-06-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-07-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-07-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-07-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2025-07-10,Lakeside Inn,Trip Lodging,Chequing (...1001),LAKESIDE INN,,-1800.00,Reimbursable: Vacation Account,Sam,
2025-07-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
