Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner,Reviewed
2025-12-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-12-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-12-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-12-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-12-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-120.00,,Shared,
2025-12-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-12-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-12-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-12-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-12-15,Northwind Labs,Bonus,Chequing (...1001),NORTHWIND LABS,,1200.00,,Shared,
2025-12-15,Harbour Food Bank,Charity,Chequing (...1001),HARBOUR FOOD BANK,,-50.00,,Shared,
2025-12-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-12-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-12-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-12-11,City Transit,Transit,Chequing (...1001),CITY TRANSIT,,-110.00,,Shared,
2025-12-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-12-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-12-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-140.00,,Shared,
2025-12-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-12-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-12-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-12-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-12-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-12-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-12-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-12-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-12-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-11-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-11-28,Coastal Gifts,Gifts,Chequing (...1001),COASTAL GIFTS,,-80.00,,Shared,
2025-11-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-11-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-11-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-11-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-11-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-11-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-11-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-11-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-11-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-11-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-11-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-11-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-11-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-11-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-11-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-11-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-11-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-11-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-11-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-11-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-11-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-11-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-11-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-10-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
