Type,Name,Group,Monthly Amount,Target,Current,Annual Rate %
Income,Salary (after tax),,5850.00,,,
Income,Annual bonus (monthly average),,290.00,,,
Expense,Rent — 1 bedroom apartment,home,1650.00,,,
Expense,Renters insurance,home,28.00,,,
Expense,Electricity & heat,home,110.00,,,
Expense,Internet,home,85.00,,,
Expense,Mobile phone,home,60.00,,,
Expense,Groceries,food,520.00,,,
Expense,Coffee & snacks,food,45.00,,,
Expense,Car payment,transport,385.00,,,
Expense,Car insurance,transport,195.00,,,
Expense,Fuel,transport,150.00,,,
Expense,Downtown parking,transport,120.00,,,
Expense,Car maintenance,transport,60.00,,,
Expense,Transit,transport,25.00,,,
Expense,Gym membership,health,70.00,,,
Expense,Dental & health extras,health,45.00,,,
Expense,Prescriptions,health,20.00,,,
Expense,Clothing,personal,90.00,,,
Expense,Haircuts,personal,35.00,,,
Expense,Streaming & subscriptions,personal,45.00,,,
Expense,Household supplies,personal,60.00,,,
Expense,Restaurants,joy,260.00,,,
Expense,Entertainment & events,joy,80.00,,,
Expense,Hobbies & sports,joy,70.00,,,
Expense,Gifts,joy,50.00,,,
Expense,Bank fees,financial,17.00,,,
Expense,Emergency fund top-up,future,150.00,,,
Expense,Donations,future,50.00,,,
Goal,RRSP,,400.00,120000.00,14500.00,5.0
Goal,First home down payment,,500.00,60000.00,9200.00,3.75
